Sample,Sample,Site,Taxon,Size,Estimated Count,Concentration,Energy,DateTime,Time,FlowNormalized,FlowChangeNormalized,Temperature,Turbidity,Windspeed,MaxWindspeed,Rainfall,Light,BoatWakes,FineDebrisMass,CoarseDebrisMass,DebrisMass,PumpIntakeVelocity,PumpIntakeProportionalDepth,PumpIntakeWaterDepth,MeanBucketFillTime,LogConcentration,PreyToDebrisRatio,TimeOfDay_s,DateTimeInEpoch_s
2019-06-26 First Bridge #3,2019-06-26 First Bridge #3,First Bridge,,,1453,71.10193136,51.6254011,6/26/19 18:09,18:09:30,0.446938776,-0.002142857,11.5,0.47,1.119402985,5.6,0,21600,0,1.945,0.191,2.136,,,,3.385,4.2641145,33.28742105,65370,1561572570
2019-06-26 First Bridge #4,2019-06-26 First Bridge #4,First Bridge,,,3017,150.0961934,66.97284371,6/26/19 21:08,21:08:00,0.440816327,-0.000680272,11.7,0.47,1.090140845,4,0,11400,0,1.989,0.143,2.132,,,,3.385,5.011276378,70.40159166,76080,1561583280
2019-06-26 First Bridge #5,2019-06-26 First Bridge #5,First Bridge,,,3302,164.2749853,50.28980516,6/27/19 0:09,0:09:00,0.437755102,-0.00127551,10.8,0.41,0.016666667,1.5,0,776.8,0,2.043,0.221,2.264,,,,3.385,5.101541763,72.55962248,540,1561594140
2019-06-27 First Bridge #6,2019-06-27 First Bridge #6,First Bridge,,,3212,159.7974721,49.44745655,6/27/19 3:07,3:07:00,0.435714286,0,10,0.41,2.521621622,6.1,0,178.8,0,5.032,0.311,5.343,,,,3.385,5.073907214,29.90781809,11220,1561604820
2019-06-27 First Bridge #7,2019-06-27 First Bridge #7,First Bridge,,,2021.333333,100.5616304,69.69976431,6/27/19 6:09,6:09:00,0.435714286,0.00127551,8.9,0.41,2.164864865,6.5,0,4198,0,2.408,,,,,,3.385,4.610770777,,22140,1561615740
2019-06-27 First Bridge #8,2019-06-27 First Bridge #8,First Bridge,,,2192,111.5759357,37.17158062,6/27/19 9:08,9:08:00,0.440816327,0,8.9,0.37,2.442253521,5.8,0,14800,0,2.45,0.206,2.656,0.43,0.428571429,0.42,3.463333333,4.714705397,42.00901194,32880,1561626480
2019-06-28 First Bridge,2019-06-28 First Bridge,First Bridge,,,2341.272727,117.3389183,19.18315033,6/28/19 13:40,13:40:00,0.423809524,-0.00255102,10,0.563333333,1.710810811,7.8,0,76300,0,1.514,0.21,1.724,0.58,0.4375,0.48,3.41,4.765066485,68.06201757,49200,1561729200
2019-06-28 Nordale,2019-06-28 Nordale,Nordale,,,1478,74.94268078,19.11432544,6/28/19 10:50,10:50:00,0.566908213,0,13.2,2.82,0.061016949,2.1,0,43200,1,1.408,0.061,1.469,0.08,0.636363636,0.55,3.45,4.316723565,51.01612034,39000,1561719000
2019-06-28 Third Bridge,2019-06-28 Third Bridge,Third Bridge,,,1728,88.55026455,22.70858055,6/28/19 15:55,15:55:00,0.420068027,0.001020408,12,0.56,1.845652174,11.6,0,65900,0,0.695,0.055,0.75,0.31,0.720930233,0.43,3.486666667,4.483570352,118.0670194,57300,1561737300
2019-07-05 Nordale,2019-07-05 Nordale,Nordale,,,1543,77.89836861,35.56905374,7/5/19 11:00,11:00:00,0.512318841,0,15,3.053333333,1.711111111,9.4,0,51800,0,12.464,3.504,15.968,0.04,0.631578947,0.57,3.435,4.355405011,4.878404848,39600,1562324400
