"Plot Title: 10767519"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10767519, SEN S/N: 10767519)","Coupler Detached (LGR S/N: 10767519, SEN S/N: 10767519)","Coupler Attached (LGR S/N: 10767519, SEN S/N: 10767519)","Stopped (LGR S/N: 10767519, SEN S/N: 10767519)","End Of File (LGR S/N: 10767519, SEN S/N: 10767519)"
209,05/15/19 04:00:00 AM,12.001,,,,
210,05/15/19 05:00:00 AM,11.686,,,,
211,05/15/19 06:00:00 AM,11.394,,,,
212,05/15/19 07:00:00 AM,11.175,,,,
213,05/15/19 08:00:00 AM,11.029,,,,
214,05/15/19 09:00:00 AM,10.980,,,,
215,05/15/19 10:00:00 AM,11.443,,,,
216,05/15/19 11:00:00 AM,12.799,,,,
217,05/15/19 12:00:00 PM,14.409,,,,
218,05/15/19 01:00:00 PM,15.605,,,,
219,05/15/19 02:00:00 PM,16.534,,,,
220,05/15/19 03:00:00 PM,17.653,,,,
221,05/15/19 04:00:00 PM,18.033,,,,
222,05/15/19 05:00:00 PM,17.724,,,,
223,05/15/19 06:00:00 PM,17.486,,,,
224,05/15/19 07:00:00 PM,17.272,,,,
225,05/15/19 08:00:00 PM,16.915,,,,
226,05/15/19 09:00:00 PM,16.534,,,,
227,05/15/19 10:00:00 PM,16.439,,,,
228,05/15/19 11:00:00 PM,15.963,,,,
229,05/16/19 12:00:00 AM,15.509,,,,
230,05/16/19 01:00:00 AM,15.127,,,,
231,05/16/19 02:00:00 AM,14.768,,,,
232,05/16/19 03:00:00 AM,14.409,,,,
233,05/16/19 04:00:00 AM,14.098,,,,
234,05/16/19 05:00:00 AM,13.786,,,,
235,05/16/19 06:00:00 AM,13.497,,,,
236,05/16/19 07:00:00 AM,13.257,,,,
237,05/16/19 08:00:00 AM,13.209,,,,
238,05/16/19 09:00:00 AM,13.425,,,,
239,05/16/19 10:00:00 AM,14.433,,,,
240,05/16/19 11:00:00 AM,15.318,,,,
241,05/16/19 12:00:00 PM,25.355,,,,
242,05/16/19 01:00:00 PM,30.066,,,,
243,05/16/19 02:00:00 PM,32.768,,,,
244,05/16/19 03:00:00 PM,24.557,,,,
245,05/16/19 04:00:00 PM,21.724,,,,
246,05/16/19 05:00:00 PM,20.793,,,,
247,05/16/19 06:00:00 PM,21.079,,,,
248,05/16/19 07:00:00 PM,21.413,,,,
249,05/16/19 08:00:00 PM,21.891,,,,
250,05/16/19 09:00:00 PM,21.032,,,,
251,05/16/19 10:00:00 PM,19.532,,,,
252,05/16/19 11:00:00 PM,17.867,,,,
253,05/17/19 12:00:00 AM,16.606,,,,
254,05/17/19 01:00:00 AM,15.342,,,,
255,05/17/19 02:00:00 AM,14.170,,,,
256,05/17/19 03:00:00 AM,12.727,,,,
257,05/17/19 04:00:00 AM,11.297,,,,
258,05/17/19 05:00:00 AM,10.418,,,,
259,05/17/19 06:00:00 AM,9.682,,,,
260,05/17/19 07:00:00 AM,9.213,,,,
261,05/17/19 08:00:00 AM,9.238,,,,
262,05/17/19 09:00:00 AM,9.706,,,,
263,05/17/19 10:00:00 AM,11.127,,,,
264,05/17/19 11:00:00 AM,16.606,,,,
265,05/17/19 12:00:00 PM,22.944,,,,
266,05/17/19 01:00:00 PM,26.012,,,,
267,05/17/19 02:00:00 PM,25.089,,,,
268,05/17/19 03:00:00 PM,29.840,,,,
269,05/17/19 04:00:00 PM,31.510,,,,
270,05/17/19 05:00:00 PM,29.315,,,,
271,05/17/19 06:00:00 PM,28.816,,,,
272,05/17/19 07:00:00 PM,24.484,,,,
273,05/17/19 08:00:00 PM,20.460,,,,
274,05/17/19 09:00:00 PM,18.628,,,,
275,05/17/19 10:00:00 PM,17.677,,,,
276,05/17/19 11:00:00 PM,17.034,,,,
277,05/18/19 12:00:00 AM,16.534,,,,
278,05/18/19 01:00:00 AM,16.106,,,,
279,05/18/19 02:00:00 AM,15.724,,,,
280,05/18/19 03:00:00 AM,15.390,,,,
281,05/18/19 04:00:00 AM,15.103,,,,
282,05/18/19 05:00:00 AM,14.864,,,,
283,05/18/19 06:00:00 AM,14.625,,,,
284,05/18/19 07:00:00 AM,14.433,,,,
285,05/18/19 08:00:00 AM,14.290,,,,
286,05/18/19 09:00:00 AM,14.242,,,,
287,05/18/19 10:00:00 AM,14.218,,,,
288,05/18/19 11:00:00 AM,14.290,,,,
289,05/18/19 12:00:00 PM,14.409,,,,
290,05/18/19 01:00:00 PM,14.553,,,,
291,05/18/19 02:00:00 PM,14.673,,,,
292,05/18/19 03:00:00 PM,14.792,,,,
293,05/18/19 04:00:00 PM,14.936,,,,
294,05/18/19 05:00:00 PM,15.031,,,,
295,05/18/19 06:00:00 PM,15.008,,,,
296,05/18/19 07:00:00 PM,14.936,,,,
297,05/18/19 08:00:00 PM,14.840,,,,
298,05/18/19 09:00:00 PM,14.721,,,,
299,05/18/19 10:00:00 PM,14.601,,,,
300,05/18/19 11:00:00 PM,14.481,,,,
301,05/19/19 12:00:00 AM,14.337,,,,
302,05/19/19 01:00:00 AM,14.218,,,,
303,05/19/19 02:00:00 AM,14.098,,,,
304,05/19/19 03:00:00 AM,13.954,,,,
305,05/19/19 04:00:00 AM,13.858,,,,
306,05/19/19 05:00:00 AM,13.738,,,,
307,05/19/19 06:00:00 AM,13.642,,,,
308,05/19/19 07:00:00 AM,13.546,,,,
309,05/19/19 08:00:00 AM,13.473,,,,
310,05/19/19 09:00:00 AM,13.425,,,,
311,05/19/19 10:00:00 AM,13.473,,,,
312,05/19/19 11:00:00 AM,13.618,,,,
313,05/19/19 12:00:00 PM,13.786,,,,
314,05/19/19 01:00:00 PM,13.954,,,,
315,05/19/19 02:00:00 PM,14.074,,,,
316,05/19/19 03:00:00 PM,14.170,,,,
317,05/19/19 04:00:00 PM,14.290,,,,
318,05/19/19 05:00:00 PM,14.385,,,,
319,05/19/19 06:00:00 PM,14.505,,,,
320,05/19/19 07:00:00 PM,14.649,,,,
321,05/19/19 08:00:00 PM,14.721,,,,
322,05/19/19 09:00:00 PM,14.745,,,,
323,05/19/19 10:00:00 PM,14.697,,,,
324,05/19/19 11:00:00 PM,14.601,,,,
325,05/20/19 12:00:00 AM,14.457,,,,
326,05/20/19 01:00:00 AM,14.266,,,,
327,05/20/19 02:00:00 AM,14.074,,,,
